Neighborhood,Average Rent,Latitude,Longitude
Alamo Square,"$3,456 ",37.7911733,-122.4376698
Anza Vista,"$3,468 ",37.725,-122.445
Barbary Coast,"$3,412 ",37.72687,-122.38873
Bayview‚ Hunters Point,"$3,361 ",37.71859,-122.43164
Bernal Heights,"$3,061 ",37.75668,-122.50676
Civic Center,"$2,944 ",37.7552548,-122.4518119
Clarendon Heights,"$4,153 ",37.76485,-122.44975
Cole Valley,"$3,809 ",37.76252778,-122.4098611
Corona Heights,"$4,427 ",37.7980718,-122.4443446
Cow Hollow,"$3,632 ",37.71282,-122.43945
Crocker-Amazon,"$3,892 ",37.7457639,-122.4416379
Diamond Heights,"$3,571 ",37.7606,-122.39107
Dogpatch,"$4,080 ",37.7698,-122.4334
Duboce Triangle,"$4,427 ",37.76594,-122.43093
Eureka Valley,"$4,427 ",37.72058,-122.43276
Excelsior District,"$3,907 ",37.78086,-122.42542
Financial District,"$2,956 ",37.80833333,-122.4155556
Forest Knolls,"$3,645 ",37.73388889,-122.4333333
Glen Park,"$3,571 ",37.77,-122.4469
Haight-Ashbury,"$3,809 ",37.77623056,-122.4244222
Hayes Valley,"$2,983 ",37.7407,-122.3822
Laurel Heights,"$3,797 ",37.78055556,-122.4978333
Little Hollywood,"$3,868 ",37.7790963,-122.4519159
Lone Mountain,"$3,802 ",37.772,-122.43
Lower Pacific Heights,"$3,081 ",37.803,-122.436
Marina District,"$2,974 ",37.73272222,-122.4785556
Merced Manor,"$3,664 ",37.780518,-122.412534
Midtown Terrace,"$3,571 ",37.77018,-122.39091
Mission Bay,"$4,352 ",37.76,-122.42
Mission District,"$3,657 ",37.76424,-122.42366
Mission Dolores,"$3,684 ",37.7382643,-122.4549715
Mount Davidson,"$3,907 ",37.79323,-122.41448
Nob Hill,"$2,996 ",37.75144444,-122.4318611
Noe Valley,"$3,358 ",37.80028889,-122.4101833
North Beach,"$3,257 ",37.7144,-122.4567
Oceanview,"$3,907 ",37.71111111,-122.4511111
Outer Mission,"$3,907 ",37.76868056,-122.4815944
Pacific Heights,"$3,104 ",37.718353,-122.479234
Potrero Hill,"$3,871 ",37.78833333,-122.4605556
Presidio,"$4,936 ",37.7989846,-122.4836963
Presidio Heights,"$3,797 ",37.77777778,-122.4827778
Richmond District,"$3,797 ",37.78555556,-122.3919444
Rincon Hill,"$4,188 ",37.8018,-122.4198
Russian Hill,"$2,983 ",37.78752222,-122.4896833
Silver Terrace,"$3,361 ",37.77722222,-122.4111111
South of Market,"$3,871 ",37.78138889,-122.3938889
Sunset District,"$3,444 ",37.802409,-122.40587
Telegraph Hill,"$3,257 ",37.789,-122.416
Tenderloin,"$2,944 ",37.7825,-122.4108
Treasure Island,"$2,616 ",37.75158628,-122.4477215
Twin Peaks,"$3,880 ",37.71666667,-122.4
Visitacion Valley,"$3,868 ",37.74092222,-122.4658194
Western Addition,"$3,030 ",37.733,-122.457
Westwood Park,"$3,907 ",37.78805556,-122.4075
Yerba Buena,"$4,024 ",37.809912,-122.366002
